"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap","SMA (5)","FII Holding","Return on Equity","Return On Assets","Market Cap/Sales","YoY last Quarterly Sales Growth","YoY last Quarterly Profit Growth","EBITDA Growth % (Year)"
"Reliance Industries","1,234.85","-18.80","-1.50%","88,59,714.00","24.51","16,96,485.90","1,262.99","19.15","8.54","5.82","1.88","6.62","11.65","15.85"
"Tata Consultancy Services","3,963.55","-73.40","-1.82%","18,10,908.00","29.94","14,60,603.80","4,040.75","12.68","50.48","45.94","6.06","5.60","12.14","9.58"
"HDFC Bank","1,701.40","-14.35","-0.84%","1,13,62,352.00","18.86","13,12,157.50","1,726.31","49.20","13.93","1.62","4.63","9.01","3.51","24.77"
"Bharti Airtel","1,696.75","3.70","0.22%","89,65,266.00","49.67","9,64,333.00","1,669.35","24.27","8.11","2.80","6.43","19.08","460.93","10.41"
"ICICI Bank","1,252.75","-9.85","-0.78%","65,86,627.00","18.13","8,91,145.60","1,262.47","45.69","16.67","1.90","5.59","15.10","20.25","30.56"
"Infosys","1,875.65","-4.65","-0.25%","44,11,601.00","28.22","7,80,751.20","1,894.46","33.30","29.67","26.51","5.08","7.58","11.60","8.74"
"State Bank of India","731.10","-5.70","-0.77%","1,30,17,060.00","8.29","6,57,566.00","744.68","10.28","15.83","1.01","1.50","10.44","67.98","20.22"
"Hindustan Unilever","2,315.25","-46.20","-1.96%","13,89,260.00","53.64","5,54,844.20","2,360.86","11.43","19.99","15.67","8.96","1.94","19.18","5.55"
"ITC","418.30","-8.90","-2.08%","1,42,88,751.00","26.91","5,34,500.30","433.12","40.17","27.71","26.56","7.54","8.94","-7.27","4.84"
"Bajaj Finance","8,191.20","","8,393.80","20.79","18.84","4.23","9.33","26.82","18.39","35.48"
"LIC of India","799.80","-9.10","-1.12%","14,42,861.00","11.88","5,11,629.10","819.25","0.07","49.36","0.79","0.59","-8.63","16.69","7.15"
"HCL Technologies","1,723.20","-10.65","-0.61%","17,02,553.00","27.55","4,70,508.80","1,723.81","19.38","23.01","20.39","4.28","5.08","5.58","7.12"
"Larsen & Toubro","3,239.65","-89.00","-2.67%","25,93,537.00","33.01","4,57,732.90","3,328.23","20.83","15.18","9.55","2.07","17.31","10.61","12.31"
"Sun Pharmaceutical","1,699.75","-32.35","-1.87%","27,79,274.00","35.24","4,15,588.80","1,735.28","18.05","14.38","14.09","8.57","10.53","13.77","17.07"
"Maruti Suzuki","12,724.35","-176.40","-1.37%","3,54,195.00","27.89","4,05,602.90","12,967.08","15.47","15.75","15.09","2.86","15.58","16.22","47.27"
"Mahindra & Mahindra","3,085.95","-51.30","-1.64%","24,70,280.00","31.49","3,90,126.10","3,148.07","38.91","15.83","7.63","2.81","17.74","21.75","25.95"
"Kotak Bank","1,918.60","-41.55","-2.12%","35,06,682.00","19.81","3,89,710.00","1,927.14","32.48","13.83","2.34","6.93","14.75","10.23","21.78"
"Wipro","313.00","-6.05","-1.90%","1,06,27,890.00","26.93","3,33,978.60","317.02","10.30","14.88","12.41","3.72","0.51","24.66","1.50"
"UltraTech Cement","11,300.20","-232.10","-2.01%","3,01,338.00","53.09","3,32,935.30","11,507.23","17.48","11.62","9.48","4.70","2.71","-16.98","22.14"
"Axis Bank","1,007.40","-4.35","-0.43%","48,08,215.00","11.11","3,13,133.00","1,015.45","47.32","16.77","1.74","2.78","11.42","3.98","15.11"
