"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","1,085.00","1,102.85","1,074.50","1,080.70","1,098.00","1,096.95","1,092.05","1,621.40","995.65","46,03,700","5,02,74,69,077.10","96,058"
"28-Jan-2025","EQ","1,087.00","1,096.65","1,061.25","1,082.00","1,085.00","1,080.70","1,080.90","1,621.40","995.65","24,04,643","2,59,91,83,439.60","1,33,063"
"27-Jan-2025","EQ","1,085.10","1,093.60","1,067.55","1,094.15","1,081.15","1,082.00","1,082.26","1,621.40","995.65","23,71,555","2,56,66,33,041.30","1,17,596"
"24-Jan-2025","EQ","1,104.15","1,115.00","1,088.25","1,104.00","1,093.50","1,094.15","1,100.77","1,621.40","995.65","24,00,140","2,64,20,13,311.40","87,932"
"23-Jan-2025","EQ","1,102.25","1,114.25","1,089.65","1,102.25","1,106.85","1,104.00","1,104.08","1,621.40","995.65","19,68,815","2,17,37,32,820.25","92,800"
"22-Jan-2025","EQ","1,115.50","1,118.05","1,080.45","1,106.20","1,101.90","1,102.25","1,094.80","1,621.40","995.65","19,06,032","2,08,67,27,398.85","89,487"
"21-Jan-2025","EQ","1,150.00","1,154.25","1,104.00","1,148.70","1,110.90","1,106.20","1,120.27","1,621.40","995.65","31,34,022","3,51,09,61,158.00","1,24,723"
"20-Jan-2025","EQ","1,172.00","1,172.00","1,146.50","1,163.50","1,148.45","1,148.70","1,154.70","1,621.40","995.65","13,12,101","1,51,50,88,184.55","59,777"
"17-Jan-2025","EQ","1,163.00","1,173.65","1,145.50","1,150.75","1,163.00","1,163.50","1,161.24","1,621.40","995.65","24,64,355","2,86,17,17,421.60","86,450"
"16-Jan-2025","EQ","1,179.95","1,190.00","1,145.40","1,128.90","1,154.05","1,150.75","1,160.96","1,621.40","995.65","39,97,547","4,64,10,03,644.25","1,56,319"
"15-Jan-2025","EQ","1,125.00","1,141.95","1,118.50","1,117.10","1,128.30","1,128.90","1,128.05","1,621.40","995.65","31,35,942","3,53,75,03,297.85","1,14,597"
"14-Jan-2025","EQ","1,078.85","1,131.40","1,075.05","1,066.65","1,122.65","1,117.10","1,114.20","1,621.40","995.65","62,77,854","6,99,47,54,318.65","2,21,123"
"13-Jan-2025","EQ","1,100.90","1,106.45","1,058.95","1,112.20","1,069.40","1,066.65","1,081.84","1,621.40","995.65","22,73,302","2,45,93,55,472.30","1,11,848"
"10-Jan-2025","EQ","1,134.90","1,137.40","1,106.30","1,132.35","1,113.45","1,112.20","1,120.34","1,621.40","995.65","19,02,237","2,13,11,53,404.20","95,968"
"09-Jan-2025","EQ","1,156.70","1,156.70","1,129.95","1,152.30","1,135.90","1,132.35","1,137.76","1,621.40","995.65","18,84,725","2,14,43,58,746.10","91,973"
"08-Jan-2025","EQ","1,183.55","1,183.55","1,141.10","1,174.00","1,152.00","1,152.30","1,153.17","1,621.40","995.65","29,00,996","3,34,53,35,233.65","1,12,291"
"07-Jan-2025","EQ","1,163.05","1,182.15","1,162.05","1,163.05","1,172.40","1,174.00","1,175.91","1,621.40","995.65","20,10,913","2,36,46,52,541.00","68,259"
