"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","E1","1,200.00","1,200.05","1,167.60","1,192.45","1,176.00","1,173.35","1,190.47","1,367.30","696.10","5,12,667","61,03,13,280.55","2,321"
"28-Jan-2025","E1","1,179.00","1,204.20","1,171.45","1,178.60","1,190.75","1,192.45","1,189.59","1,367.30","696.10","4,48,000","53,29,35,703.80","9,623"
"27-Jan-2025","E1","1,220.50","1,220.50","1,168.00","1,220.50","1,177.10","1,178.60","1,182.92","1,367.30","696.10","18,93,830","2,24,02,47,082.80","2,336"
"24-Jan-2025","E1","1,183.10","1,237.75","1,183.10","1,213.00","1,218.45","1,220.50","1,222.65","1,367.30","696.10","7,18,037","87,79,06,584.15","10,349"
"23-Jan-2025","E1","1,215.00","1,218.60","1,200.00","1,208.80","1,210.10","1,213.00","1,211.09","1,367.30","696.10","7,27,001","88,04,62,382.80","9,589"
"22-Jan-2025","E1","1,211.50","1,220.80","1,205.00","1,207.80","1,207.20","1,208.80","1,208.86","1,367.30","696.10","7,47,152","90,31,99,805.90","3,123"
"21-Jan-2025","E1","1,229.50","1,234.40","1,200.00","1,216.45","1,211.45","1,207.80","1,213.98","1,367.30","696.10","81,276","9,86,67,115.60","3,379"
"20-Jan-2025","E1","1,206.00","1,229.00","1,196.50","1,205.70","1,215.65","1,216.45","1,213.93","1,367.30","696.10","2,19,089","26,59,58,414.35","4,508"
"17-Jan-2025","E1","1,217.00","1,217.00","1,199.30","1,211.20","1,206.00","1,205.70","1,203.44","1,367.30","670.00","3,09,782","37,28,03,027.25","1,713"
"16-Jan-2025","E1","1,199.00","1,214.40","1,185.25","1,189.15","1,212.00","1,211.20","1,205.57","1,367.30","670.00","70,160","8,45,82,752.25","2,211"
"15-Jan-2025","E1","1,181.55","1,197.00","1,178.00","1,182.35","1,191.00","1,189.15","1,185.24","1,367.30","670.00","43,961","5,21,04,153.50","2,396"
"14-Jan-2025","E1","1,181.20","1,215.05","1,160.90","1,181.20","1,177.05","1,182.35","1,190.08","1,367.30","670.00","1,72,593","20,54,00,161.45","4,124"
"13-Jan-2025","E1","1,190.00","1,197.00","1,170.05","1,198.40","1,180.00","1,181.20","1,180.28","1,367.30","670.00","1,83,055","21,60,56,779.25","5,464"
"10-Jan-2025","E1","1,188.05","1,208.10","1,175.00","1,191.15","1,197.00","1,198.40","1,199.14","1,367.30","652.10","3,54,785","42,54,36,127.70","9,708"
"09-Jan-2025","E1","1,195.00","1,203.00","1,174.10","1,184.70","1,194.00","1,191.15","1,188.59","1,367.30","652.10","36,108","4,29,17,662.75","2,298"
"08-Jan-2025","E1","1,175.05","1,201.35","1,162.80","1,175.05","1,182.25","1,184.70","1,176.69","1,367.30","652.10","36,638","4,31,11,702.65","1,544"
"07-Jan-2025","E1","1,172.00","1,182.95","1,160.50","1,171.55","1,175.00","1,175.05","1,174.87","1,367.30","652.10","1,55,085","18,22,04,165.25","3,592"
"06-Jan-2025","E1","1,188.00","1,194.00","1,152.00","1,180.65","1,171.35","1,171.55","1,166.84","1,367.30","652.10","1,88,778","22,02,73,503.00","3,964"
"03-Jan-2025","E1","1,191.00","1,195.05","1,176.05","1,193.20","1,181.40","1,180.65","1,180.73","1,367.30","607.55","2,34,227","27,65,59,001.65","3,741"
"02-Jan-2025","E1","1,179.00","1,199.00","1,174.55","1,179.50","1,196.00","1,193.20","1,192.66","1,367.30","607.55","56,874","6,78,31,105.90","1,417"
"01-Jan-2025","E1","1,177.40","1,190.00","1,171.00","1,177.40","1,180.10","1,179.50","1,179.99","1,367.30","607.55","20,409","2,40,82,412.40","859"
"31-Dec-2024","E1","1,176.00","1,180.90","1,150.00","1,176.30","1,178.10","1,177.40","1,172.60","1,367.30","607.55","71,219","8,35,11,316.25","1,467"
"30-Dec-2024","E1","1,193.00","1,193.90","1,172.55","1,184.15","1,178.15","1,176.30","1,188.38","1,367.30","607.55","7,66,580","91,09,87,616.35","3,925"
"27-Dec-2024","E1","1,167.10","1,213.85","1,167.10","1,183.50","1,185.35","1,184.15","1,197.48","1,367.30","591.90","57,990","6,94,42,047.25","1,564"
"26-Dec-2024","E1","1,167.45","1,188.00","1,167.00","1,167.45","1,187.60","1,183.50","1,175.69","1,367.30","591.90","1,21,627","14,29,95,388.20","2,621"
"24-Dec-2024","E1","1,180.00","1,181.50","1,157.00","1,169.15","1,165.30","1,167.45","1,170.12","1,367.30","591.90","1,46,615","17,15,56,517.70","14,976"
"23-Dec-2024","E1","1,193.00","1,193.00","1,164.05","1,168.95","1,169.05","1,169.15","1,173.02","1,367.30","591.90","65,699","7,70,66,171.90","1,515"
"20-Dec-2024","E1","1,199.00","1,205.70","1,161.20","1,188.05","1,178.75","1,168.95","1,170.52","1,367.30","566.00","2,89,308","33,86,42,133.30","4,518"
"19-Dec-2024","E1","1,178.05","1,194.95","1,151.25","1,189.40","1,184.90","1,188.05","1,188.95","1,367.30","566.00","4,13,990","49,22,13,003.40","2,147"
"18-Dec-2024","E1","1,199.70","1,207.95","1,182.20","1,199.70","1,189.80","1,189.40","1,189.81","1,367.30","566.00","2,48,880","29,61,19,257.70","1,725"
"17-Dec-2024","E1","1,253.80","1,253.80","1,191.55","1,247.00","1,199.45","1,199.70","1,207.78","1,367.30","566.00","1,92,144","23,20,67,831.35","7,690"
"16-Dec-2024","E1","1,268.00","1,269.00","1,243.05","1,263.25","1,246.85","1,247.00","1,249.53","1,367.30","566.00","48,441","6,05,28,426.15","1,011"
"13-Dec-2024","E1","1,195.50","1,266.65","1,190.45","1,192.50","1,266.35","1,263.25","1,241.80","1,367.30","566.00","1,11,486","13,84,43,122.35","2,664"
"12-Dec-2024","E1","1,161.00","1,199.00","1,161.00","1,168.00","1,192.65","1,192.50","1,186.70","1,367.30","566.00","32,529","3,86,02,020.00","1,149"
"11-Dec-2024","E1","1,168.00","1,170.00","1,157.00","1,160.70","1,169.80","1,168.00","1,165.72","1,367.30","566.00","2,86,581","33,40,72,923.40","8,610"
"10-Dec-2024","E1","1,191.95","1,191.95","1,151.05","1,186.20","1,160.00","1,160.70","1,161.99","1,367.30","566.00","56,888","6,61,03,055.55","1,278"
"09-Dec-2024","E1","1,187.00","1,190.00","1,172.15","1,181.80","1,187.90","1,186.20","1,185.89","1,367.30","566.00","3,49,889","41,49,31,343.05","3,073"
"06-Dec-2024","E1","1,194.70","1,205.00","1,176.40","1,194.65","1,180.65","1,181.80","1,182.71","1,367.30","566.00","6,32,154","74,76,55,738.35","17,380"
"05-Dec-2024","E1","1,179.20","1,202.20","1,170.00","1,173.10","1,197.20","1,194.65","1,188.50","1,367.30","566.00","71,156","8,45,68,742.05","5,202"
"04-Dec-2024","E1","1,217.00","1,217.00","1,169.65","1,208.15","1,172.95","1,173.10","1,176.53","1,367.30","566.00","1,43,429","16,87,49,156.55","2,441"
"03-Dec-2024","E1","1,228.55","1,230.40","1,203.05","1,228.55","1,207.40","1,208.15","1,209.31","1,367.30","566.00","1,53,586","18,57,33,226.75","3,568"
"02-Dec-2024","E1","1,215.00","1,239.00","1,203.35","1,215.80","1,231.70","1,228.55","1,224.45","1,367.30","566.00","36,704","4,49,42,152.80","1,052"
"29-Nov-2024","E1","1,160.00","1,230.00","1,150.00","1,151.05","1,219.35","1,215.80","1,204.12","1,367.30","566.00","43,269","5,21,01,141.80","1,061"
"28-Nov-2024","E1","1,150.00","1,173.20","1,142.40","1,158.55","1,156.20","1,151.05","1,157.96","1,367.30","566.00","39,565","4,58,14,513.00","1,083"
"27-Nov-2024","E1","1,150.00","1,165.95","1,143.00","1,160.30","1,156.00","1,158.55","1,156.75","1,367.30","566.00","2,00,252","23,16,40,981.70","2,742"
"26-Nov-2024","E1","1,185.00","1,188.00","1,152.05","1,164.75","1,161.00","1,160.30","1,161.60","1,367.30","566.00","2,38,818","27,74,11,130.30","4,853"
"25-Nov-2024","E1","1,163.05","1,194.00","1,149.00","1,156.10","1,168.10","1,164.75","1,175.70","1,367.30","566.00","53,320","6,26,88,291.05","2,806"
"22-Nov-2024","E1","1,109.80","1,160.00","1,104.60","1,110.00","1,155.15","1,156.10","1,122.93","1,367.30","553.10","1,10,881","12,45,11,886.95","1,568"
"21-Nov-2024","E1","1,122.90","1,122.90","1,095.85","1,111.90","1,111.55","1,110.00","1,106.82","1,367.30","553.10","2,74,318","30,36,21,571.35","3,168"
"19-Nov-2024","E1","1,121.70","1,144.35","1,102.70","1,120.00","1,107.75","1,111.90","1,131.31","1,367.30","553.10","4,29,067","48,54,06,239.20","18,929"
"18-Nov-2024","E1","1,130.00","1,148.35","1,115.80","1,135.95","1,122.00","1,120.00","1,123.75","1,367.30","553.10","3,40,025","38,21,03,284.15","15,825"
"14-Nov-2024","E1","1,159.40","1,159.40","1,124.95","1,139.15","1,137.30","1,135.95","1,132.15","1,367.30","543.10","3,92,518","44,43,90,163.10","2,901"
"13-Nov-2024","E1","1,152.00","1,161.05","1,135.05","1,145.45","1,140.00","1,139.15","1,143.01","1,367.30","543.10","31,234","3,57,00,858.65","1,269"
"12-Nov-2024","E1","1,153.15","1,186.30","1,141.00","1,153.20","1,141.00","1,145.45","1,158.48","1,367.30","543.10","1,41,914","16,44,04,094.60","8,447"
"11-Nov-2024","E1","1,148.10","1,174.40","1,146.00","1,163.60","1,151.05","1,153.20","1,161.28","1,367.30","543.10","30,136","3,49,96,187.75","1,363"
"08-Nov-2024","E1","1,161.05","1,175.85","1,150.10","1,169.40","1,165.10","1,163.60","1,162.86","1,367.30","532.65","15,534","1,80,63,943.80","700"
"07-Nov-2024","E1","1,207.70","1,207.70","1,165.00","1,188.50","1,165.10","1,169.40","1,178.34","1,367.30","532.65","51,639","6,08,48,376.15","2,406"
"06-Nov-2024","E1","1,173.45","1,201.50","1,164.50","1,175.00","1,190.75","1,188.50","1,190.41","1,367.30","532.65","86,854","10,33,91,869.55","3,609"
"05-Nov-2024","E1","1,179.00","1,193.50","1,163.10","1,185.15","1,174.90","1,175.00","1,181.23","1,367.30","532.65","1,46,782","17,33,83,843.60","4,110"
"04-Nov-2024","E1","1,210.00","1,219.90","1,167.00","1,207.30","1,182.00","1,185.15","1,180.77","1,367.30","532.65","77,641","9,16,76,291.45","3,749"
"01-Nov-2024","E1","1,224.00","1,227.70","1,190.20","1,206.60","1,207.00","1,207.30","1,209.56","1,367.30","525.95","20,979","2,53,75,402.35","332"
"31-Oct-2024","E1","1,221.00","1,221.80","1,193.50","1,221.00","1,206.70","1,206.60","1,210.22","1,367.30","525.95","1,32,744","16,06,49,466.75","2,677"
"30-Oct-2024","E1","1,227.25","1,241.05","1,210.05","1,229.10","1,229.10","1,221.00","1,223.38","1,367.30","525.95","79,557","9,73,28,732.45","1,717"
"29-Oct-2024","E1","1,265.00","1,265.00","1,200.20","1,253.95","1,227.25","1,229.10","1,216.54","1,367.30","525.95","3,22,674","39,25,44,941.80","6,680"
