"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","1,696.00","1,724.10","1,696.00","1,693.25","1,720.65","1,719.00","1,715.29","2,012.20","1,235.00","37,33,620","6,40,42,45,749.20","1,17,810"
"28-Jan-2025","EQ","1,711.95","1,730.50","1,691.00","1,711.95","1,694.50","1,693.25","1,707.81","2,012.20","1,235.00","50,79,829","8,67,53,76,616.75","1,94,141"
"27-Jan-2025","EQ","1,775.00","1,779.75","1,707.30","1,792.85","1,710.55","1,711.95","1,734.65","2,012.20","1,235.00","41,74,844","7,24,19,06,323.30","1,43,422"
"24-Jan-2025","EQ","1,800.00","1,829.40","1,791.10","1,807.00","1,796.00","1,792.85","1,803.18","2,012.20","1,235.00","31,71,259","5,71,83,48,831.80","98,899"
"23-Jan-2025","EQ","1,817.05","1,828.95","1,804.20","1,827.70","1,806.95","1,807.00","1,814.54","2,012.20","1,235.00","37,50,930","6,80,62,27,425.65","1,46,553"
"22-Jan-2025","EQ","1,808.20","1,831.45","1,804.05","1,802.40","1,828.00","1,827.70","1,820.11","2,012.20","1,235.00","30,09,261","5,47,71,74,600.45","1,76,695"
"21-Jan-2025","EQ","1,791.40","1,820.75","1,791.40","1,796.20","1,804.05","1,802.40","1,805.77","2,012.20","1,235.00","40,05,357","7,23,27,59,540.35","2,00,700"
"20-Jan-2025","EQ","1,790.10","1,799.00","1,762.60","1,788.90","1,794.95","1,796.20","1,785.22","2,012.20","1,235.00","34,01,004","6,07,15,50,248.55","1,56,557"
"17-Jan-2025","EQ","1,773.00","1,793.10","1,750.05","1,792.25","1,789.45","1,788.90","1,776.06","2,012.20","1,235.00","24,24,374","4,30,58,21,954.95","1,76,981"
"16-Jan-2025","EQ","1,833.00","1,837.95","1,785.30","1,825.70","1,790.15","1,792.25","1,796.66","2,012.20","1,235.00","53,62,008","9,63,36,92,689.40","2,60,626"
"15-Jan-2025","EQ","1,836.00","1,843.55","1,812.55","1,813.55","1,825.70","1,825.70","1,824.99","2,012.20","1,235.00","33,50,594","6,11,48,02,982.45","2,21,654"
"14-Jan-2025","EQ","1,936.10","1,939.00","1,797.75","1,989.40","1,819.95","1,813.55","1,824.43","2,012.20","1,235.00","1,58,19,311","28,86,12,17,134.40","6,00,156"
"13-Jan-2025","EQ","1,994.90","2,012.20","1,965.40","1,995.10","1,975.00","1,989.40","1,992.36","2,012.20","1,235.00","56,94,121","11,34,47,60,287.75","1,80,247"
"10-Jan-2025","EQ","1,936.00","2,002.35","1,935.25","1,934.80","1,997.10","1,995.10","1,977.11","2,002.35","1,235.00","48,02,079","9,49,42,50,831.60","2,34,018"
"09-Jan-2025","EQ","1,926.80","1,944.45","1,920.00","1,932.25","1,934.00","1,934.80","1,935.70","1,992.10","1,235.00","27,42,139","5,30,79,58,003.95","1,27,128"
"08-Jan-2025","EQ","1,906.30","1,938.50","1,894.55","1,915.90","1,932.90","1,932.25","1,915.00","1,992.10","1,235.00","23,72,138","4,54,26,49,572.20","1,61,359"
"07-Jan-2025","EQ","1,960.00","1,981.00","1,908.90","1,953.05","1,916.75","1,915.90","1,930.16","1,992.10","1,235.00","24,94,547","4,81,48,70,548.30","1,17,446"
"06-Jan-2025","EQ","1,951.25","1,973.40","1,930.00","1,946.65","1,948.60","1,953.05","1,951.88","1,992.10","1,235.00","17,89,037","3,49,19,88,428.35","1,05,379"
"03-Jan-2025","EQ","1,980.00","1,992.10","1,941.00","1,972.20","1,943.00","1,946.65","1,956.95","1,992.10","1,235.00","28,53,344","5,58,38,62,264.80","1,48,177"
"02-Jan-2025","EQ","1,911.95","1,976.30","1,910.05","1,911.95","1,966.45","1,972.20","1,956.30","1,980.00","1,235.00","34,87,645","6,82,28,64,745.30","1,72,843"
"01-Jan-2025","EQ","1,917.40","1,936.95","1,907.90","1,917.40","1,911.60","1,911.95","1,918.88","1,980.00","1,235.00","8,80,695","1,68,99,45,501.45","53,268"
"31-Dec-2024","EQ","1,915.20","1,927.80","1,878.55","1,928.95","1,924.80","1,917.40","1,908.87","1,980.00","1,235.00","19,68,650","3,75,78,95,094.25","1,48,818"
"30-Dec-2024","EQ","1,888.00","1,968.95","1,865.65","1,892.00","1,910.65","1,928.95","1,921.33","1,980.00","1,235.00","62,62,203","12,03,17,86,092.00","1,27,109"
"27-Dec-2024","EQ","1,900.00","1,902.90","1,882.70","1,900.75","1,891.00","1,892.00","1,892.73","1,980.00","1,235.00","13,28,546","2,51,45,79,848.70","67,732"
"26-Dec-2024","EQ","1,905.60","1,908.90","1,886.30","1,896.95","1,900.00","1,900.75","1,898.23","1,980.00","1,235.00","10,65,107","2,02,18,13,031.15","78,206"
"24-Dec-2024","EQ","1,908.60","1,923.65","1,889.25","1,903.00","1,892.05","1,896.95","1,900.82","1,980.00","1,235.00","13,10,301","2,49,06,50,721.60","77,013"
"23-Dec-2024","EQ","1,918.50","1,939.40","1,899.15","1,911.35","1,900.80","1,903.00","1,910.92","1,980.00","1,235.00","20,58,339","3,93,33,25,777.05","1,04,426"
"20-Dec-2024","EQ","1,954.60","1,957.65","1,896.40","1,934.25","1,917.70","1,911.35","1,916.10","1,980.00","1,235.00","37,86,921","7,25,61,19,157.70","1,59,211"
"19-Dec-2024","EQ","1,910.00","1,946.20","1,910.00","1,960.35","1,936.15","1,934.25","1,934.20","1,980.00","1,235.00","19,16,115","3,70,61,51,475.75","1,01,525"
"18-Dec-2024","EQ","1,949.00","1,971.95","1,946.75","1,950.60","1,958.85","1,960.35","1,963.41","1,980.00","1,235.00","34,60,812","6,79,49,95,543.20","1,08,768"
"17-Dec-2024","EQ","1,945.30","1,963.20","1,938.00","1,954.40","1,948.05","1,950.60","1,948.84","1,980.00","1,235.00","19,87,909","3,87,41,13,572.75","1,00,983"
"16-Dec-2024","EQ","1,970.85","1,980.00","1,950.25","1,968.80","1,954.25","1,954.40","1,958.66","1,980.00","1,235.00","13,71,189","2,68,56,93,402.70","78,075"
"13-Dec-2024","EQ","1,939.00","1,975.00","1,912.35","1,936.20","1,965.00","1,968.80","1,954.97","1,975.00","1,235.00","25,69,918","5,02,41,19,849.50","1,53,874"
"12-Dec-2024","EQ","1,924.95","1,949.00","1,921.50","1,930.90","1,937.00","1,936.20","1,936.91","1,949.00","1,235.00","23,06,173","4,46,68,51,339.30","1,38,423"
"11-Dec-2024","EQ","1,926.25","1,934.80","1,916.00","1,936.35","1,930.00","1,930.90","1,926.41","1,942.80","1,235.00","13,87,117","2,67,21,56,722.65","86,037"
"10-Dec-2024","EQ","1,916.45","1,942.80","1,912.20","1,909.90","1,937.00","1,936.35","1,931.39","1,942.80","1,235.00","26,95,207","5,20,54,83,157.65","1,17,737"
"09-Dec-2024","EQ","1,915.00","1,926.05","1,901.00","1,922.70","1,909.95","1,909.90","1,910.47","1,939.35","1,235.00","13,79,520","2,63,55,27,110.20","71,773"
"06-Dec-2024","EQ","1,926.00","1,939.35","1,915.30","1,924.00","1,915.55","1,922.70","1,923.49","1,939.35","1,235.00","22,50,408","4,32,86,34,514.30","1,36,345"
"05-Dec-2024","EQ","1,885.00","1,938.10","1,884.00","1,897.65","1,920.00","1,924.00","1,912.31","1,938.10","1,235.00","38,81,814","7,42,32,16,155.95","1,81,152"
"04-Dec-2024","EQ","1,882.00","1,911.00","1,877.60","1,890.75","1,894.60","1,897.65","1,895.92","1,919.95","1,235.00","37,30,643","7,07,30,13,391.60","1,84,460"
"03-Dec-2024","EQ","1,884.00","1,896.30","1,872.05","1,871.50","1,888.95","1,890.75","1,887.37","1,919.95","1,235.00","29,54,648","5,57,65,07,461.25","1,65,181"
"02-Dec-2024","EQ","1,848.05","1,878.55","1,835.45","1,848.05","1,872.75","1,871.50","1,863.05","1,919.95","1,235.00","20,14,744","3,75,35,67,689.45","91,103"
"29-Nov-2024","EQ","1,842.00","1,872.30","1,833.95","1,840.90","1,850.00","1,848.05","1,855.83","1,919.95","1,235.00","24,82,280","4,60,67,01,269.50","1,37,062"
"28-Nov-2024","EQ","1,885.10","1,900.50","1,835.00","1,891.05","1,844.00","1,840.90","1,852.26","1,919.95","1,235.00","36,31,255","6,72,60,37,001.55","1,67,802"
"27-Nov-2024","EQ","1,896.75","1,917.00","1,887.10","1,899.55","1,891.10","1,891.05","1,903.10","1,919.95","1,235.00","16,31,975","3,10,58,08,405.25","62,337"
"26-Nov-2024","EQ","1,890.10","1,914.95","1,889.15","1,891.70","1,900.00","1,899.55","1,902.16","1,919.95","1,235.00","20,79,873","3,95,62,58,453.00","82,089"
"25-Nov-2024","EQ","1,919.00","1,919.95","1,878.50","1,898.40","1,896.00","1,891.70","1,892.76","1,919.95","1,235.00","65,31,524","12,36,26,33,619.40","1,62,447"
"22-Nov-2024","EQ","1,846.35","1,902.00","1,836.50","1,836.35","1,897.10","1,898.40","1,882.01","1,902.00","1,235.00","27,65,950","5,20,55,40,179.95","1,28,070"
"21-Nov-2024","EQ","1,835.00","1,839.55","1,820.20","1,820.55","1,833.30","1,836.35","1,831.91","1,897.00","1,235.00","18,41,245","3,37,29,91,677.25","1,22,858"
"19-Nov-2024","EQ","1,837.00","1,865.00","1,817.30","1,835.00","1,824.00","1,820.55","1,842.69","1,897.00","1,235.00","23,54,204","4,33,80,61,517.10","1,05,514"
"18-Nov-2024","EQ","1,858.95","1,865.05","1,815.00","1,858.95","1,835.65","1,835.00","1,837.49","1,897.00","1,235.00","24,83,933","4,56,42,05,632.75","1,25,829"
