"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","824.40","835.55","820.25","818.65","827.00","828.20","830.23","1,222.00","805.00","9,39,222","77,97,73,956.40","43,496"
"28-Jan-2025","EQ","816.15","825.95","805.00","809.05","819.00","818.65","816.83","1,222.00","805.00","12,67,694","1,03,54,91,004.70","52,034"
"27-Jan-2025","EQ","820.60","821.00","807.45","821.25","808.65","809.05","812.64","1,222.00","806.85","7,11,008","57,77,93,939.25","36,685"
"24-Jan-2025","EQ","839.50","839.90","820.00","837.25","821.60","821.25","827.85","1,222.00","806.85","5,29,524","43,83,64,716.50","27,197"
"23-Jan-2025","EQ","828.50","840.90","824.50","828.55","836.50","837.25","835.67","1,222.00","806.85","7,13,322","59,61,01,905.95","27,042"
"22-Jan-2025","EQ","841.70","843.45","818.70","837.55","827.50","828.55","827.55","1,222.00","806.85","9,25,304","76,57,34,122.50","39,736"
"21-Jan-2025","EQ","860.00","863.80","835.50","859.00","836.00","837.55","846.44","1,222.00","806.85","8,22,668","69,63,41,611.00","40,322"
"20-Jan-2025","EQ","859.90","865.00","855.00","854.90","857.05","859.00","860.66","1,222.00","806.85","6,48,046","55,77,49,298.65","28,632"
"17-Jan-2025","EQ","845.90","858.95","844.55","844.35","854.50","854.90","853.87","1,222.00","806.85","7,72,593","65,96,96,327.15","31,956"
"16-Jan-2025","EQ","837.20","856.00","837.20","836.05","845.70","844.35","848.16","1,222.00","806.85","15,04,145","1,27,57,50,174.60","44,160"
"15-Jan-2025","EQ","833.00","838.00","818.50","825.40","835.00","836.05","829.28","1,222.00","806.85","9,84,158","81,61,45,438.25","36,526"
"14-Jan-2025","EQ","815.00","827.75","806.85","808.95","827.00","825.40","817.73","1,222.00","806.85","8,79,737","71,93,84,867.60","42,084"
"13-Jan-2025","EQ","830.00","836.85","807.50","839.50","808.50","808.95","823.13","1,222.00","807.50","17,15,367","1,41,19,62,419.60","76,418"
"10-Jan-2025","EQ","845.00","852.00","835.85","843.10","839.55","839.50","842.94","1,222.00","819.30","10,98,164","92,56,86,036.65","45,270"
"09-Jan-2025","EQ","872.00","873.90","839.70","868.90","848.50","843.10","852.61","1,222.00","819.30","14,86,683","1,26,75,63,406.90","65,775"
"08-Jan-2025","EQ","877.00","878.85","867.50","876.40","869.05","868.90","870.65","1,222.00","819.30","7,62,531","66,38,94,480.35","32,294"
"07-Jan-2025","EQ","877.90","885.00","861.15","875.85","876.20","876.40","873.30","1,222.00","819.30","13,23,119","1,15,54,73,570.50","52,481"
"06-Jan-2025","EQ","908.40","909.90","872.10","908.40","877.00","875.85","884.38","1,222.00","819.30","10,60,694","93,80,57,850.50","50,787"
"03-Jan-2025","EQ","904.00","917.90","902.35","902.35","908.00","908.40","909.28","1,222.00","819.30","8,89,032","80,83,76,084.15","31,725"
"02-Jan-2025","EQ","898.00","904.50","896.05","896.40","902.50","902.35","900.82","1,222.00","819.30","6,01,073","54,14,57,586.35","23,631"
"01-Jan-2025","EQ","896.00","898.30","890.00","892.00","896.65","896.40","895.01","1,222.00","819.30","5,24,731","46,96,41,988.40","22,307"
"31-Dec-2024","EQ","903.00","903.00","883.10","905.40","891.35","892.00","889.42","1,222.00","819.30","12,82,443","1,14,06,28,043.55","44,167"
"30-Dec-2024","EQ","891.75","928.90","878.45","887.00","912.50","905.40","900.70","1,222.00","819.30","31,92,145","2,87,51,77,466.15","77,488"
"27-Dec-2024","EQ","893.00","899.90","885.50","891.90","886.95","887.00","891.90","1,222.00","780.00","5,92,236","52,82,15,349.10","25,144"
"26-Dec-2024","EQ","890.65","895.00","885.15","890.65","892.35","891.90","890.78","1,222.00","780.00","7,66,954","68,31,83,917.65","32,947"
"24-Dec-2024","EQ","904.70","904.80","890.00","904.80","890.00","890.65","894.80","1,222.00","780.00","9,80,630","87,74,68,386.45","36,347"
"23-Dec-2024","EQ","902.50","906.90","892.60","901.70","905.10","904.80","902.26","1,222.00","780.00","19,47,520","1,75,71,62,992.25","39,170"
"20-Dec-2024","EQ","905.70","914.90","895.35","905.05","901.00","901.70","907.04","1,222.00","746.30","14,01,586","1,27,12,87,757.40","56,759"
"19-Dec-2024","EQ","895.00","908.00","890.55","906.45","906.00","905.05","900.66","1,222.00","746.30","14,32,458","1,29,01,63,674.55","43,188"
"18-Dec-2024","EQ","920.00","924.50","905.00","920.05","906.50","906.45","911.53","1,222.00","746.30","12,00,629","1,09,44,08,713.85","39,735"
"17-Dec-2024","EQ","931.40","934.80","918.00","923.90","918.40","920.05","926.41","1,222.00","746.30","10,20,033","94,49,72,148.55","38,418"
"16-Dec-2024","EQ","935.00","936.50","923.00","931.90","923.90","923.90","927.09","1,222.00","746.30","7,09,525","65,77,96,429.85","28,886"
"13-Dec-2024","EQ","928.90","934.00","913.55","928.50","931.35","931.90","924.91","1,222.00","746.30","12,75,193","1,17,94,33,096.10","50,086"
"12-Dec-2024","EQ","939.00","944.00","926.55","938.80","928.90","928.50","934.06","1,222.00","746.30","12,26,052","1,14,52,09,053.85","46,864"
"11-Dec-2024","EQ","948.20","952.00","937.15","948.20","937.90","938.80","943.13","1,222.00","746.30","12,18,352","1,14,90,68,452.50","43,308"
"10-Dec-2024","EQ","979.00","979.00","945.50","986.35","947.40","948.20","954.30","1,222.00","746.30","36,66,785","3,49,92,29,888.80","94,713"
"09-Dec-2024","EQ","987.65","1,007.80","981.85","983.25","985.90","986.35","995.30","1,222.00","746.30","20,50,254","2,04,06,24,361.90","61,561"
"06-Dec-2024","EQ","977.90","992.95","975.20","976.90","982.85","983.25","984.90","1,222.00","680.00","13,30,397","1,31,03,08,983.50","44,956"
"05-Dec-2024","EQ","978.00","981.00","966.25","971.35","976.00","976.90","974.40","1,222.00","680.00","12,11,446","1,18,04,28,931.70","38,873"
"04-Dec-2024","EQ","970.00","982.00","967.60","969.75","973.20","971.35","974.40","1,222.00","680.00","10,44,244","1,01,75,12,546.75","39,502"
"03-Dec-2024","EQ","990.00","995.00","966.20","983.80","968.00","969.75","977.77","1,222.00","680.00","16,59,133","1,62,22,45,458.30","53,912"
"02-Dec-2024","EQ","985.00","999.95","974.35","985.50","981.90","983.80","987.57","1,222.00","680.00","19,79,567","1,95,49,70,738.55","64,727"
"29-Nov-2024","EQ","947.00","992.15","945.00","938.60","984.90","985.50","976.45","1,222.00","667.15","73,97,971","7,22,37,49,318.25","1,68,161"
"28-Nov-2024","EQ","920.00","952.50","917.25","916.30","940.90","938.60","937.93","1,222.00","667.15","27,88,917","2,61,58,04,805.90","83,854"
"27-Nov-2024","EQ","910.00","917.50","906.00","907.20","916.60","916.30","912.56","1,222.00","667.15","7,79,480","71,13,22,472.75","29,575"
"26-Nov-2024","EQ","905.05","919.80","900.00","905.05","904.10","907.20","910.18","1,222.00","667.15","8,73,562","79,51,00,534.45","31,531"
"25-Nov-2024","EQ","905.95","911.75","902.60","889.50","904.95","905.05","905.51","1,222.00","667.15","11,16,286","1,01,08,12,441.50","35,410"
"22-Nov-2024","EQ","884.00","895.00","879.00","881.95","892.00","889.50","886.32","1,222.00","607.70","9,47,168","83,94,93,729.85","34,790"
"21-Nov-2024","EQ","894.00","898.95","872.00","896.65","883.75","881.95","886.26","1,222.00","607.70","16,48,142","1,46,06,88,940.30","51,653"
"19-Nov-2024","EQ","910.00","916.65","894.00","901.75","896.60","896.65","907.85","1,222.00","607.70","7,78,486","70,67,49,852.55","30,250"
"18-Nov-2024","EQ","908.65","916.95","900.00","908.65","901.35","901.75","905.35","1,222.00","607.70","6,67,386","60,42,19,212.75","32,251"
"14-Nov-2024","EQ","905.00","924.50","895.60","897.90","907.55","908.65","910.25","1,222.00","598.25","12,21,663","1,11,20,14,190.50","46,501"
"13-Nov-2024","EQ","922.00","924.90","890.05","921.15","900.20","897.90","899.48","1,222.00","598.25","13,26,985","1,19,35,92,000.05","59,367"
"12-Nov-2024","EQ","930.50","958.00","918.00","918.45","921.25","921.15","939.07","1,222.00","598.25","22,55,309","2,11,78,87,320.85","81,859"
"11-Nov-2024","EQ","920.00","933.70","909.00","914.65","920.00","918.45","922.13","1,222.00","598.25","12,38,920","1,14,24,40,469.35","54,649"
"08-Nov-2024","EQ","931.00","934.85","911.90","929.70","915.55","914.65","920.81","1,222.00","598.25","7,17,691","66,08,54,578.60","32,496"
"07-Nov-2024","EQ","945.00","954.00","927.15","945.25","928.20","929.70","940.14","1,222.00","598.25","8,16,992","76,80,89,725.80","32,005"
