"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","320.00","322.90","313.30","318.25","322.50","321.25","319.14","448.45","296.85","1,60,56,888","5,12,43,47,965.80","1,40,561"
"28-Jan-2025","EQ","322.50","323.85","308.15","322.20","319.50","318.25","315.25","448.45","296.85","2,20,08,929","6,93,83,45,153.45","2,87,373"
"27-Jan-2025","EQ","323.65","325.05","315.00","323.65","321.55","322.20","321.02","448.45","296.85","1,38,03,855","4,43,12,52,453.25","2,04,278"
"24-Jan-2025","EQ","324.80","329.90","322.10","323.65","324.00","323.65","325.48","448.45","296.85","74,92,600","2,43,87,00,713.40","1,04,318"
"23-Jan-2025","EQ","321.00","325.10","319.55","322.40","323.50","323.65","323.16","448.45","296.85","64,77,347","2,09,32,41,382.40","1,23,258"
"22-Jan-2025","EQ","327.00","327.00","317.35","324.30","322.15","322.40","321.48","448.45","296.85","1,10,68,145","3,55,82,35,814.70","1,41,930"
"21-Jan-2025","EQ","337.80","338.25","323.80","336.05","324.50","324.30","329.61","448.45","296.85","1,27,74,630","4,21,06,61,591.70","1,55,422"
"20-Jan-2025","EQ","326.20","337.00","324.55","326.15","334.95","336.05","334.07","448.45","296.85","1,79,91,880","6,01,05,82,504.20","1,92,585"
"17-Jan-2025","EQ","325.30","329.00","323.35","325.50","326.00","326.15","326.76","448.45","296.55","71,29,232","2,32,95,40,460.80","82,906"
"16-Jan-2025","EQ","324.70","327.30","321.65","321.35","327.00","325.50","325.40","448.45","296.55","1,48,65,186","4,83,71,56,888.90","1,63,327"
"15-Jan-2025","EQ","312.55","324.30","312.55","310.40","322.85","321.35","320.73","448.45","296.55","2,18,94,626","7,02,23,50,155.90","2,44,928"
"14-Jan-2025","EQ","300.45","312.70","300.20","298.20","312.30","310.40","309.33","448.45","296.55","2,27,32,888","7,03,19,49,440.40","2,20,931"
"13-Jan-2025","EQ","301.10","309.95","296.85","308.25","298.65","298.20","302.68","448.45","296.55","2,96,30,336","8,96,85,86,301.30","2,28,969"
"10-Jan-2025","EQ","320.35","321.00","307.60","320.35","308.20","308.25","311.46","448.45","296.55","1,59,41,143","4,96,50,10,459.80","3,18,136"
"09-Jan-2025","EQ","324.05","325.95","319.80","325.40","320.35","320.35","321.44","448.45","296.55","1,24,03,467","3,98,69,97,210.85","1,98,527"
"08-Jan-2025","EQ","330.50","330.50","321.85","328.60","325.30","325.40","325.41","448.45","296.55","89,93,608","2,92,66,30,324.45","1,64,643"
"07-Jan-2025","EQ","327.00","330.35","325.10","327.50","327.70","328.60","327.99","448.45","296.55","1,38,91,401","4,55,61,91,168.55","3,56,573"
"06-Jan-2025","EQ","341.70","341.70","326.45","339.85","327.50","327.50","331.68","448.45","296.55","1,05,38,077","3,49,53,01,195.65","2,30,009"
"03-Jan-2025","EQ","338.05","344.50","337.05","338.00","339.50","339.85","341.16","448.45","296.55","86,89,629","2,96,45,63,715.70","1,52,405"
"02-Jan-2025","EQ","333.65","338.60","330.00","333.65","338.05","338.00","335.14","448.45","296.55","1,65,43,382","5,54,44,11,373.30","1,82,332"
"01-Jan-2025","EQ","333.00","334.65","328.80","333.35","333.80","333.65","332.11","448.45","296.55","78,43,971","2,60,50,66,233.45","93,328"
"31-Dec-2024","EQ","330.10","334.60","326.20","331.40","332.85","333.35","331.28","448.45","296.55","85,80,998","2,84,26,89,493.20","1,03,705"
"30-Dec-2024","EQ","335.00","336.80","327.40","335.00","332.00","331.40","331.71","448.45","296.55","3,66,57,549","12,15,97,28,648.10","1,61,410"
"27-Dec-2024","EQ","336.65","340.00","334.20","334.65","335.90","335.00","337.22","448.45","296.55","90,90,597","3,06,55,37,295.50","1,13,603"
"26-Dec-2024","EQ","335.30","337.40","332.25","335.30","335.65","334.65","334.69","448.45","296.55","90,30,212","3,02,22,87,320.75","1,26,997"
"24-Dec-2024","EQ","335.10","336.85","331.75","333.65","335.70","335.30","334.78","448.45","296.55","77,55,462","2,59,63,50,223.80","1,16,566"
"23-Dec-2024","EQ","335.90","338.25","330.50","333.25","333.30","333.65","333.62","448.45","296.55","88,84,187","2,96,39,74,140.25","1,28,261"
"20-Dec-2024","EQ","337.80","343.90","331.00","337.40","333.55","333.25","337.30","448.45","293.20","2,03,75,797","6,87,27,98,573.65","2,46,435"
"19-Dec-2024","EQ","337.00","340.60","335.05","341.75","337.90","337.40","337.67","448.45","293.20","1,45,13,129","4,90,06,79,756.20","3,01,736"
"18-Dec-2024","EQ","349.55","351.00","340.00","349.05","342.65","341.75","342.83","448.45","293.20","1,46,72,392","5,03,00,66,255.50","2,66,171"
"17-Dec-2024","EQ","352.00","353.85","347.25","352.90","349.40","349.05","349.59","448.45","293.20","1,56,46,176","5,46,97,09,204.25","2,06,682"
"16-Dec-2024","EQ","357.15","358.90","351.70","357.15","352.90","352.90","353.36","448.45","293.20","1,21,68,143","4,29,97,39,480.25","1,77,243"
"13-Dec-2024","EQ","355.75","358.30","348.05","355.60","357.75","357.15","354.08","448.45","280.85","1,42,69,143","5,05,24,44,532.05","2,10,541"
"12-Dec-2024","EQ","366.00","367.00","353.00","365.50","355.90","355.60","356.86","448.45","280.85","2,25,38,216","8,04,28,81,475.70","2,27,790"
"11-Dec-2024","EQ","369.25","370.75","364.70","369.15","365.90","365.50","367.25","448.45","280.85","99,98,662","3,67,19,84,639.90","1,46,696"
"10-Dec-2024","EQ","369.00","371.20","366.40","369.85","368.90","369.15","369.00","448.45","280.85","79,13,822","2,92,01,74,053.05","1,08,735"
"09-Dec-2024","EQ","370.90","373.30","367.75","369.50","369.45","369.85","370.21","448.45","280.85","1,08,78,679","4,02,74,25,848.55","1,60,332"
"06-Dec-2024","EQ","369.45","371.20","368.05","369.15","369.75","369.50","369.89","448.45","272.80","97,36,086","3,60,12,47,946.40","1,60,252"
"05-Dec-2024","EQ","372.75","373.95","364.40","372.75","369.40","369.15","368.67","448.45","272.80","1,87,58,283","6,91,55,36,961.00","2,52,662"
"04-Dec-2024","EQ","368.95","375.15","368.00","367.45","372.50","372.75","372.43","448.45","272.80","2,20,35,954","8,20,68,21,948.15","2,28,229"
"03-Dec-2024","EQ","359.00","370.00","358.20","358.20","367.70","367.45","364.40","448.45","272.80","1,42,05,760","5,17,66,21,764.70","1,90,879"
"02-Dec-2024","EQ","363.65","363.90","357.00","363.65","358.35","358.20","359.02","448.45","272.80","1,25,10,350","4,49,14,40,985.35","1,73,949"
"29-Nov-2024","EQ","363.25","365.40","360.20","362.05","363.00","363.65","363.08","448.45","253.65","1,42,80,017","5,18,47,58,000.55","1,86,992"
"28-Nov-2024","EQ","369.70","371.85","359.60","369.30","365.25","362.05","364.17","448.45","253.65","1,68,37,860","6,13,18,90,758.20","2,24,508"
"27-Nov-2024","EQ","363.80","371.60","361.35","361.65","369.75","369.30","368.12","448.45","253.65","1,42,25,274","5,23,66,31,929.65","2,01,214"
"26-Nov-2024","EQ","370.00","370.40","360.25","368.40","362.00","361.65","362.96","448.45","253.65","1,12,22,231","4,07,32,38,523.20","1,63,475"
"25-Nov-2024","EQ","374.00","377.20","367.50","365.45","369.00","368.40","371.12","448.45","253.65","1,83,88,844","6,82,44,21,790.95","2,03,042"
"22-Nov-2024","EQ","357.05","367.10","355.70","356.15","364.70","365.45","362.21","448.45","247.30","1,59,49,254","5,77,69,49,221.10","2,34,848"
"21-Nov-2024","EQ","363.70","364.35","354.80","366.70","357.50","356.15","357.46","448.45","247.30","2,12,76,150","7,60,53,63,529.50","3,30,832"
"19-Nov-2024","EQ","368.00","378.50","365.05","366.70","367.10","366.70","370.76","448.45","247.30","1,70,55,094","6,32,32,77,037.50","2,52,117"
"18-Nov-2024","EQ","380.00","380.00","362.65","372.50","366.95","366.70","367.10","448.45","247.30","1,63,83,636","6,01,43,54,833.70","3,80,525"
"14-Nov-2024","EQ","380.05","385.20","371.35","381.35","373.45","372.50","375.95","448.45","243.30","1,50,86,601","5,67,17,58,601.95","3,27,124"
"13-Nov-2024","EQ","384.00","387.60","379.35","380.30","380.45","381.35","384.08","448.45","243.30","2,06,02,407","7,91,30,44,776.10","3,19,159"
"12-Nov-2024","EQ","393.15","394.80","379.05","392.55","380.30","380.30","384.91","448.45","243.30","1,05,49,517","4,06,06,28,965.55","2,35,492"
"11-Nov-2024","EQ","398.15","400.90","391.80","397.65","393.10","392.55","395.52","448.45","243.30","1,22,43,693","4,84,25,65,834.15","2,50,331"
"08-Nov-2024","EQ","403.15","404.20","395.55","403.80","396.00","397.65","398.49","448.45","234.55","75,36,509","3,00,32,54,892.75","1,86,596"
"07-Nov-2024","EQ","410.90","410.90","402.00","408.90","403.95","403.80","405.21","448.45","234.55","75,89,295","3,07,52,49,828.10","1,58,154"
"06-Nov-2024","EQ","406.70","410.80","403.15","403.10","409.05","408.90","406.93","448.45","234.55","97,00,643","3,94,74,65,326.25","1,72,515"
"05-Nov-2024","EQ","400.00","404.10","397.15","400.95","403.05","403.10","401.32","448.45","234.55","66,65,326","2,67,49,43,810.45","1,66,110"
"04-Nov-2024","EQ","413.85","414.30","393.70","411.35","401.25","400.95","400.08","448.45","234.55","1,38,66,505","5,54,77,19,903.50","2,99,664"
"01-Nov-2024","EQ","412.00","415.45","410.35","408.15","411.85","411.35","412.34","448.45","230.65","21,45,479","88,46,75,586.95","1,10,511"
"31-Oct-2024","EQ","409.00","410.65","403.50","408.50","408.30","408.15","407.02","448.45","230.65","1,22,04,072","4,96,73,30,733.50","1,88,887"
"30-Oct-2024","EQ","414.15","414.80","405.80","412.15","408.50","408.50","410.14","448.45","230.65","1,22,64,297","5,03,00,34,683.60","1,88,426"
"29-Oct-2024","EQ","409.00","414.30","404.45","403.90","410.35","412.15","409.98","448.45","230.65","2,02,84,308","8,31,61,22,112.95","3,16,767"
"28-Oct-2024","EQ","398.90","406.50","397.80","398.90","404.10","403.90","402.93","448.45","230.65","1,17,16,022","4,72,06,99,502.85","1,85,046"
"25-Oct-2024","EQ","402.50","407.50","391.60","411.90","400.30","398.90","398.80","448.45","227.75","1,96,42,277","7,83,33,19,271.60","3,25,742"
"24-Oct-2024","EQ","409.25","415.25","406.80","408.30","411.60","411.90","411.21","448.45","227.75","94,00,171","3,86,54,11,004.20","1,66,236"
"23-Oct-2024","EQ","414.00","414.75","401.70","415.75","409.25","408.30","407.72","448.45","227.75","2,25,22,821","9,18,29,05,863.15","2,38,493"
"22-Oct-2024","EQ","422.85","426.30","413.45","425.00","415.55","415.75","418.96","448.45","227.75","1,42,42,323","5,96,69,96,249.25","1,56,935"
"21-Oct-2024","EQ","426.05","428.75","419.10","424.95","423.00","425.00","424.19","448.45","227.75","91,39,781","3,87,69,99,099.15","1,31,579"
"18-Oct-2024","EQ","417.70","425.95","414.45","417.75","425.10","424.95","422.42","448.45","227.75","88,28,971","3,72,94,98,322.00","1,68,623"
"17-Oct-2024","EQ","423.65","425.60","416.60","424.25","419.05","417.75","421.26","448.45","227.75","1,19,68,387","5,04,18,53,947.40","1,39,052"
"16-Oct-2024","EQ","425.30","429.40","421.25","426.60","423.65","424.25","424.86","448.45","227.75","62,19,440","2,64,23,75,404.60","1,45,227"
"15-Oct-2024","EQ","426.65","427.20","423.55","424.50","425.80","426.60","425.53","448.45","227.75","93,65,964","3,98,55,32,315.60","1,46,051"
"14-Oct-2024","EQ","424.60","426.00","420.00","422.50","424.85","424.50","423.34","448.45","227.75","84,83,177","3,59,12,26,077.95","1,24,622"
"11-Oct-2024","EQ","423.95","426.65","419.60","422.70","422.50","422.50","422.76","448.45","227.75","86,39,087","3,65,22,69,774.30","1,52,701"
"10-Oct-2024","EQ","420.70","429.90","420.50","418.45","424.00","422.70","425.35","448.45","227.75","1,58,66,037","6,74,85,81,369.00","1,90,282"
"09-Oct-2024","EQ","424.45","424.75","417.00","420.95","419.80","418.45","420.90","448.45","227.75","1,39,16,492","5,85,74,91,432.55","1,62,562"
"08-Oct-2024","EQ","414.00","427.70","411.30","415.45","422.10","420.95","420.78","448.45","227.75","1,87,06,355","7,87,11,81,238.35","2,51,307"
"07-Oct-2024","EQ","430.60","433.00","409.05","430.45","417.10","415.45","416.29","448.45","227.75","2,34,31,004","9,75,41,11,295.75","5,69,311"
"04-Oct-2024","EQ","432.90","439.35","426.30","435.35","431.15","430.45","431.66","448.45","227.75","1,83,47,292","7,91,98,33,582.15","2,84,690"
"03-Oct-2024","EQ","432.00","442.50","432.00","440.10","435.35","435.35","437.12","448.45","227.75","1,35,63,784","5,92,90,51,689.00","2,65,337"
"01-Oct-2024","EQ","446.00","447.75","438.80","443.20","440.80","440.10","442.92","448.45","227.75","1,59,84,996","7,08,01,12,366.95","2,16,049"
"30-Sep-2024","EQ","436.90","448.45","433.60","436.90","443.00","443.20","441.75","448.45","227.75","2,09,03,229","9,23,39,96,637.55","2,95,503"
"27-Sep-2024","EQ","436.00","442.50","433.50","434.60","440.30","436.90","437.37","442.50","227.75","5,38,85,913","23,56,82,77,528.85","2,99,874"
"26-Sep-2024","EQ","437.95","437.95","430.55","436.10","433.50","434.60","433.30","437.95","227.75","2,00,41,825","8,68,41,64,318.45","2,56,327"
"25-Sep-2024","EQ","428.10","437.00","425.65","428.10","436.75","436.10","432.96","437.00","227.75","1,94,43,168","8,41,81,02,750.75","3,13,542"
"24-Sep-2024","EQ","431.45","431.45","427.00","428.35","428.05","428.10","428.49","431.85","227.75","1,25,39,885","5,37,32,35,434.30","2,79,182"
"23-Sep-2024","EQ","427.50","430.50","425.00","423.95","428.75","428.35","428.10","431.85","227.75","1,41,39,629","6,05,31,80,799.35","4,66,096"
"20-Sep-2024","EQ","428.05","429.85","416.55","423.95","423.00","423.95","423.00","431.85","227.75","3,60,84,164","15,26,36,69,597.25","5,17,527"
"19-Sep-2024","EQ","424.00","431.85","420.55","414.15","424.00","423.95","426.44","431.85","227.75","5,96,01,773","25,41,68,50,696.40","7,84,686"
"18-Sep-2024","EQ","418.50","419.75","413.00","416.30","413.80","414.15","416.48","426.30","227.75","1,03,03,840","4,29,12,99,089.55","2,46,232"
"17-Sep-2024","EQ","411.85","417.65","410.10","411.10","416.00","416.30","414.62","426.30","227.75","1,44,32,501","5,98,40,74,937.90","2,74,706"
"16-Sep-2024","EQ","402.45","412.00","402.00","401.40","411.65","411.10","408.42","426.30","227.75","1,14,79,712","4,68,85,59,951.20","1,52,432"
