"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","248.90","252.00","247.00","248.68","252.00","251.40","250.10","345.00","223.00","56,51,586","1,41,34,57,683.32","64,088"
"28-Jan-2025","EQ","250.00","252.40","246.71","250.78","249.30","248.68","249.65","345.00","223.00","80,29,472","2,00,45,56,254.35","82,478"
"27-Jan-2025","EQ","255.00","256.44","249.51","256.51","250.49","250.78","252.75","345.00","223.00","69,44,911","1,75,53,14,161.90","98,058"
"24-Jan-2025","EQ","262.99","265.64","255.75","263.05","258.25","256.51","259.33","345.00","223.00","63,06,281","1,63,53,93,054.16","68,539"
"23-Jan-2025","EQ","263.00","263.83","261.17","264.05","262.88","263.05","262.86","345.00","223.00","50,26,675","1,32,13,32,994.05","72,913"
"22-Jan-2025","EQ","266.00","266.39","261.71","265.80","263.69","264.05","263.40","345.00","223.00","79,19,682","2,08,60,30,610.84","84,421"
"21-Jan-2025","EQ","268.05","269.35","264.81","269.36","265.70","265.80","266.86","345.00","223.00","89,89,218","2,39,88,76,014.23","1,09,303"
"20-Jan-2025","EQ","268.10","270.47","265.01","266.57","268.69","269.36","268.07","345.00","223.00","96,76,264","2,59,38,91,324.28","89,159"
"17-Jan-2025","EQ","262.00","267.00","261.30","263.18","266.60","266.57","265.48","345.00","223.00","1,21,48,143","3,22,50,39,656.94","1,02,891"
"16-Jan-2025","EQ","260.00","265.63","260.00","258.18","263.35","263.18","263.24","345.00","223.00","1,41,95,450","3,73,67,62,624.32","1,17,000"
"15-Jan-2025","EQ","260.90","264.47","257.69","260.37","258.35","258.18","260.70","345.00","223.00","93,44,731","2,43,61,65,684.50","81,488"
"14-Jan-2025","EQ","257.52","262.00","256.82","255.73","260.60","260.37","259.58","345.00","223.00","84,70,150","2,19,86,81,969.00","92,660"
"13-Jan-2025","EQ","266.03","268.60","254.61","263.02","255.74","255.73","260.04","345.00","223.00","2,04,16,370","5,30,90,83,845.24","1,70,951"
"10-Jan-2025","EQ","264.00","266.50","258.47","263.18","263.00","263.02","263.27","345.00","209.70","1,30,53,552","3,43,66,40,106.02","1,55,581"
"09-Jan-2025","EQ","272.03","272.59","261.71","271.33","264.30","263.18","265.03","345.00","209.70","1,47,06,472","3,89,76,42,625.56","1,53,765"
"08-Jan-2025","EQ","266.45","273.50","265.75","263.49","271.50","271.33","269.72","345.00","209.70","4,22,37,794","11,39,22,36,078.89","2,68,387"
"07-Jan-2025","EQ","259.15","267.40","258.05","254.36","264.00","263.49","264.76","345.00","209.70","5,29,56,766","14,02,07,86,755.47","3,52,170"
"06-Jan-2025","EQ","259.11","259.50","251.45","258.89","254.99","254.36","254.69","345.00","209.70","1,92,65,884","4,90,67,81,828.09","1,94,211"
"03-Jan-2025","EQ","248.45","262.75","247.99","246.07","258.65","258.89","257.11","345.00","203.65","4,97,60,410","12,79,38,17,289.66","2,85,805"
"02-Jan-2025","EQ","237.05","246.78","237.00","236.95","246.10","246.07","243.35","345.00","203.65","1,97,45,810","4,80,51,16,165.11","1,68,254"
"01-Jan-2025","EQ","237.81","239.24","236.35","239.25","236.91","236.95","237.32","345.00","203.65","94,18,453","2,23,52,08,618.28","1,42,361"
"31-Dec-2024","EQ","232.65","239.90","232.35","232.65","239.00","239.25","237.50","345.00","203.65","1,20,04,845","2,85,10,95,635.15","95,972"
"30-Dec-2024","EQ","236.05","237.00","231.15","236.90","234.40","232.65","233.36","345.00","203.65","1,94,01,112","4,52,74,72,933.40","1,16,034"
"27-Dec-2024","EQ","240.00","241.00","236.30","240.25","237.10","236.90","238.21","345.00","203.65","64,87,888","1,54,54,55,546.75","80,443"
"26-Dec-2024","EQ","240.00","242.00","239.00","238.95","240.40","240.25","240.14","345.00","203.65","63,30,006","1,52,00,83,640.35","64,424"
"24-Dec-2024","EQ","241.00","243.25","238.60","240.85","239.25","238.95","240.73","345.00","203.65","35,77,400","86,11,70,832.15","48,437"
"23-Dec-2024","EQ","238.25","242.30","236.85","237.10","241.15","240.85","239.89","345.00","203.65","77,22,901","1,85,26,45,044.25","70,004"
"20-Dec-2024","EQ","241.50","244.15","235.30","241.85","237.50","237.10","239.41","345.00","197.35","1,55,56,528","3,72,43,55,205.65","1,03,000"
"19-Dec-2024","EQ","240.00","243.95","238.55","244.15","242.20","241.85","241.62","345.00","197.35","95,18,542","2,29,98,29,601.30","93,976"
"18-Dec-2024","EQ","247.40","247.50","243.40","247.40","243.90","244.15","244.94","345.00","197.35","84,30,930","2,06,50,59,166.40","1,05,462"
"17-Dec-2024","EQ","251.75","252.45","246.50","251.80","247.00","247.40","249.08","345.00","197.35","1,00,66,884","2,50,74,19,609.70","1,23,919"
"16-Dec-2024","EQ","254.00","256.30","251.20","254.25","251.50","251.80","252.24","345.00","197.35","72,83,872","1,83,72,80,993.60","85,102"
"13-Dec-2024","EQ","253.00","256.80","249.50","254.05","255.00","254.25","253.40","345.00","192.05","1,11,43,128","2,82,36,38,193.00","87,238"
"12-Dec-2024","EQ","258.00","258.60","253.60","256.60","254.00","254.05","255.40","345.00","192.05","71,23,877","1,81,94,73,797.00","91,979"
"11-Dec-2024","EQ","257.50","258.70","255.65","256.90","257.05","256.60","256.88","345.00","192.05","53,53,032","1,37,51,02,664.00","72,900"
"10-Dec-2024","EQ","257.65","258.75","254.50","258.90","256.70","256.90","256.40","345.00","192.05","1,13,18,782","2,90,21,31,690.25","1,02,996"
"09-Dec-2024","EQ","260.05","261.35","257.70","260.05","258.75","258.90","258.80","345.00","192.05","68,00,856","1,76,00,57,209.30","78,598"
"06-Dec-2024","EQ","260.80","263.00","259.55","261.30","260.15","260.05","261.03","345.00","192.05","87,83,386","2,29,27,63,331.05","83,811"
"05-Dec-2024","EQ","260.70","263.25","256.90","260.70","261.25","261.30","260.62","345.00","192.05","1,28,96,743","3,36,11,33,137.30","1,24,991"
"04-Dec-2024","EQ","263.85","264.30","260.00","262.35","260.70","260.70","261.88","345.00","192.05","1,07,13,838","2,80,57,13,534.25","1,15,588"
"03-Dec-2024","EQ","260.40","264.70","258.85","257.55","261.90","262.35","262.17","345.00","192.05","1,53,45,326","4,02,30,30,481.60","1,14,259"
"02-Dec-2024","EQ","255.50","258.30","252.70","256.70","257.65","257.55","256.19","345.00","192.05","1,36,77,959","3,50,41,86,180.40","1,34,159"
"29-Nov-2024","EQ","253.80","258.65","252.25","252.20","256.95","256.70","255.89","345.00","188.40","1,14,76,347","2,93,66,63,586.60","95,372"
"28-Nov-2024","EQ","255.00","257.40","251.20","254.30","253.00","252.20","253.69","345.00","188.40","1,42,02,863","3,60,31,51,109.55","1,35,952"
