"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","285.35","289.15","283.30","283.95","288.50","287.85","287.10","366.25","245.15","48,00,024","1,37,80,79,579.95","80,548"
"28-Jan-2025","EQ","287.15","288.80","279.35","287.00","284.90","283.95","283.57","366.25","245.15","1,12,98,068","3,20,38,23,431.55","1,15,211"
"27-Jan-2025","EQ","295.00","295.00","283.75","295.85","286.70","287.00","286.70","366.25","245.15","1,34,77,947","3,86,41,81,597.85","1,25,241"
"24-Jan-2025","EQ","295.30","302.50","294.35","294.35","296.00","295.85","298.89","366.25","235.00","1,11,42,914","3,33,05,42,733.55","97,257"
"23-Jan-2025","EQ","297.50","299.60","293.60","297.55","294.75","294.35","296.14","366.25","235.00","1,22,28,286","3,62,13,16,161.60","1,58,656"
"22-Jan-2025","EQ","302.00","302.30","295.80","302.35","298.40","297.55","297.97","366.25","235.00","97,23,333","2,89,72,15,173.30","1,00,658"
"21-Jan-2025","EQ","307.00","309.95","301.50","306.25","303.10","302.35","304.84","366.25","235.00","1,39,11,546","4,24,08,60,157.85","1,38,065"
"20-Jan-2025","EQ","302.60","308.80","301.95","302.60","307.00","306.25","306.24","366.25","235.00","94,35,937","2,88,96,55,150.15","93,962"
"17-Jan-2025","EQ","297.65","305.00","295.70","297.65","303.15","302.60","302.47","366.25","226.05","75,93,230","2,29,67,47,213.25","98,025"
"16-Jan-2025","EQ","299.00","301.60","296.60","298.65","298.40","297.65","298.17","366.25","226.05","1,16,94,289","3,48,69,04,465.60","1,20,322"
"15-Jan-2025","EQ","295.00","302.50","291.10","290.25","298.60","298.65","299.19","366.25","226.05","1,21,98,882","3,64,98,19,648.20","1,47,348"
"14-Jan-2025","EQ","287.75","293.05","286.80","287.60","292.00","290.25","290.23","366.25","226.05","1,59,54,608","4,63,04,95,385.70","1,57,513"
"13-Jan-2025","EQ","295.00","298.55","286.75","299.70","287.45","287.60","292.26","366.25","226.05","1,94,74,228","5,69,14,54,698.95","2,02,994"
"10-Jan-2025","EQ","304.05","305.25","298.50","305.25","299.60","299.70","301.50","366.25","226.05","65,40,783","1,97,20,15,376.10","1,00,010"
"09-Jan-2025","EQ","306.65","306.90","303.65","306.65","305.50","305.25","305.33","366.25","226.05","82,44,909","2,51,74,18,860.85","1,12,574"
"08-Jan-2025","EQ","306.15","307.85","303.00","305.05","305.60","306.65","305.35","366.25","226.05","69,07,996","2,10,93,49,186.10","92,207"
"07-Jan-2025","EQ","306.00","310.70","303.00","306.00","305.10","305.05","305.78","366.25","226.05","1,01,37,739","3,09,99,31,799.30","1,20,334"
"06-Jan-2025","EQ","315.80","316.50","304.80","316.05","306.60","306.00","308.08","366.25","226.05","67,22,495","2,07,10,42,573.00","1,07,928"
"03-Jan-2025","EQ","316.35","318.00","313.65","315.15","315.80","316.05","316.03","366.25","226.05","76,36,948","2,41,35,26,984.40","78,548"
"02-Jan-2025","EQ","309.85","317.20","308.75","310.40","315.05","315.15","313.26","366.25","226.05","1,07,66,571","3,37,27,08,393.40","1,19,341"
"01-Jan-2025","EQ","308.70","311.35","305.90","308.70","310.90","310.40","308.92","366.25","226.05","42,39,498","1,30,96,65,939.45","1,47,931"
"31-Dec-2024","EQ","307.35","309.75","305.15","307.55","309.30","308.70","307.66","366.25","226.05","84,02,716","2,58,51,81,375.30","79,263"
"30-Dec-2024","EQ","309.00","312.00","306.30","309.40","310.40","307.55","307.74","366.25","226.05","1,24,89,142","3,84,33,87,587.95","75,443"
"27-Dec-2024","EQ","310.75","312.30","308.80","310.30","309.50","309.40","309.99","366.25","226.05","39,81,693","1,23,42,80,109.00","68,229"
"26-Dec-2024","EQ","310.10","313.10","308.75","310.10","310.70","310.30","310.92","366.25","226.05","37,75,101","1,17,37,69,571.70","78,102"
"24-Dec-2024","EQ","314.10","316.65","308.75","315.30","310.00","310.10","312.56","366.25","226.05","48,33,589","1,51,08,07,250.75","80,474"
"23-Dec-2024","EQ","318.00","318.30","311.55","315.80","315.25","315.30","314.94","366.25","226.05","59,84,169","1,88,46,71,184.10","88,964"
"20-Dec-2024","EQ","321.30","325.60","313.60","321.65","315.75","315.80","318.19","366.25","222.70","1,39,73,399","4,44,61,68,431.30","1,26,526"
"19-Dec-2024","EQ","318.00","323.85","316.85","321.55","322.80","321.65","321.27","366.25","222.70","1,02,34,715","3,28,81,28,142.15","1,02,201"
"18-Dec-2024","EQ","328.00","329.10","320.65","329.80","321.70","321.55","323.03","366.25","222.70","1,50,37,099","4,85,73,71,869.75","1,09,757"
"17-Dec-2024","EQ","332.50","335.55","328.00","335.00","330.10","329.80","330.49","366.25","222.70","1,73,60,248","5,73,73,86,903.50","95,259"
"16-Dec-2024","EQ","333.85","336.25","331.60","333.85","334.75","335.00","334.28","366.25","222.70","1,26,95,136","4,24,37,91,475.05","1,11,611"
"13-Dec-2024","EQ","330.65","334.30","325.05","329.20","334.10","333.85","330.57","366.25","222.70","1,49,73,536","4,94,97,86,873.55","1,40,636"
"12-Dec-2024","EQ","328.00","329.90","325.85","327.55","329.90","329.20","328.37","366.25","222.70","1,04,14,162","3,41,97,14,029.25","1,00,075"
"11-Dec-2024","EQ","327.25","329.00","326.85","327.90","327.60","327.55","327.76","366.25","222.70","50,13,051","1,64,30,74,643.40","65,545"
"10-Dec-2024","EQ","331.85","331.85","325.35","329.10","328.00","327.90","328.27","366.25","222.70","1,49,94,365","4,92,22,52,953.20","90,304"
"09-Dec-2024","EQ","327.75","330.65","326.70","328.90","329.45","329.10","329.00","366.25","222.70","93,76,929","3,08,49,70,058.35","80,556"
"06-Dec-2024","EQ","327.10","332.75","326.70","328.35","329.25","328.90","330.09","366.25","211.55","88,02,058","2,90,54,86,459.10","81,467"
"05-Dec-2024","EQ","325.00","330.45","319.55","325.05","328.55","328.35","325.19","366.25","211.55","1,97,85,053","6,43,38,66,907.75","1,58,857"
"04-Dec-2024","EQ","329.05","331.25","321.10","329.65","325.30","325.05","325.55","366.25","211.55","1,78,80,011","5,82,08,95,615.85","1,28,296"
"03-Dec-2024","EQ","324.25","331.35","324.25","327.85","329.90","329.65","327.70","366.25","211.55","2,31,74,488","7,59,42,62,871.00","1,44,389"
"02-Dec-2024","EQ","328.15","331.95","326.20","329.40","328.35","327.85","328.36","366.25","211.55","1,60,03,524","5,25,48,49,826.60","95,216"
"29-Nov-2024","EQ","331.35","332.50","326.50","333.65","329.15","329.40","329.39","366.25","208.25","1,38,90,537","4,57,54,52,123.80","1,18,961"
"28-Nov-2024","EQ","339.25","341.75","332.20","339.25","334.30","333.65","334.37","366.25","208.25","1,69,20,231","5,65,75,33,957.65","1,64,651"
"27-Nov-2024","EQ","337.25","341.30","336.50","338.80","338.50","339.25","339.37","366.25","208.25","1,21,77,260","4,13,25,93,950.30","1,02,835"
"26-Nov-2024","EQ","342.00","344.60","337.90","342.75","337.90","338.80","340.35","366.25","208.25","1,39,97,179","4,76,39,06,250.20","1,36,136"
"25-Nov-2024","EQ","341.85","345.40","336.15","336.95","343.30","342.75","341.30","366.25","208.25","2,94,19,152","10,04,08,14,898.50","1,74,104"
"22-Nov-2024","EQ","325.80","337.60","324.00","325.90","336.00","336.95","332.74","366.25","207.95","3,15,23,269","10,48,91,05,008.55","1,72,850"
"21-Nov-2024","EQ","316.00","326.75","313.00","315.05","325.30","325.90","321.47","366.25","207.95","2,54,06,386","8,16,74,53,210.10","2,08,954"
"19-Nov-2024","EQ","313.05","318.25","312.25","312.05","314.20","315.05","316.14","366.25","207.95","1,31,57,158","4,15,95,52,246.95","1,45,721"
"18-Nov-2024","EQ","314.00","315.55","310.10","312.10","312.00","312.05","312.17","366.25","207.95","94,08,101","2,93,69,07,970.60","1,22,003"
"14-Nov-2024","EQ","315.10","318.80","310.60","318.00","312.60","312.10","314.11","366.25","205.70","1,25,00,377","3,92,64,64,897.70","1,37,495"
"13-Nov-2024","EQ","322.65","324.60","317.15","322.70","319.00","318.00","319.65","366.25","205.70","1,29,18,639","4,12,94,06,478.15","1,71,656"
"12-Nov-2024","EQ","331.50","332.50","321.80","329.80","322.65","322.70","326.28","366.25","205.70","1,20,69,181","3,93,78,83,369.05","1,13,275"
"11-Nov-2024","EQ","313.55","332.40","312.80","316.25","330.00","329.80","327.96","366.25","205.70","2,28,38,987","7,49,03,83,752.45","1,65,328"
"08-Nov-2024","EQ","311.85","317.55","308.70","312.95","314.50","316.25","314.33","366.25","204.95","1,57,40,539","4,94,76,61,101.70","1,14,628"
"07-Nov-2024","EQ","319.00","319.00","311.70","318.50","312.35","312.95","313.95","366.25","204.95","1,45,04,208","4,55,36,12,496.65","1,46,668"
"06-Nov-2024","EQ","317.40","320.35","313.90","316.60","318.00","318.50","317.75","366.25","204.95","1,10,19,250","3,50,13,12,623.80","95,489"
"05-Nov-2024","EQ","312.35","317.70","312.00","315.45","316.65","316.60","315.02","366.25","204.95","75,18,195","2,36,83,55,677.80","73,239"
"04-Nov-2024","EQ","324.55","324.70","311.60","322.05","314.95","315.45","315.48","366.25","204.95","92,49,409","2,91,79,92,241.90","1,65,722"
