"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jan-2025","EQ","1,705.50","1,744.00","1,696.00","1,705.50","1,742.45","1,735.35","1,720.49","1,960.35","1,355.20","14,33,336","2,46,60,46,060.35","1,08,718"
"28-Jan-2025","EQ","1,779.80","1,780.00","1,693.10","1,786.85","1,711.00","1,705.50","1,709.81","1,960.35","1,355.20","59,72,497","10,21,18,19,341.20","2,42,788"
"27-Jan-2025","EQ","1,818.10","1,824.25","1,774.30","1,822.20","1,787.95","1,786.85","1,792.29","1,960.35","1,355.20","14,52,975","2,60,41,52,979.60","79,585"
"24-Jan-2025","EQ","1,829.00","1,843.10","1,808.20","1,833.60","1,818.00","1,822.20","1,822.24","1,960.35","1,316.00","12,77,935","2,32,87,04,517.75","97,990"
"23-Jan-2025","EQ","1,788.10","1,839.75","1,786.05","1,798.95","1,839.00","1,833.60","1,827.01","1,960.35","1,316.00","19,74,760","3,60,79,09,005.25","1,08,457"
"22-Jan-2025","EQ","1,777.00","1,803.60","1,773.85","1,762.70","1,794.00","1,798.95","1,791.87","1,960.35","1,316.00","22,62,270","4,05,37,00,740.00","1,52,791"
"21-Jan-2025","EQ","1,772.10","1,805.75","1,759.50","1,778.25","1,764.40","1,762.70","1,779.79","1,960.35","1,316.00","24,89,267","4,43,03,68,916.75","2,19,225"
"20-Jan-2025","EQ","1,789.35","1,800.45","1,768.30","1,786.55","1,773.00","1,778.25","1,780.44","1,960.35","1,316.00","13,41,246","2,38,80,10,504.35","1,05,815"
"17-Jan-2025","EQ","1,779.00","1,791.95","1,767.60","1,763.30","1,789.50","1,786.55","1,782.40","1,960.35","1,290.00","11,63,986","2,07,46,88,452.75","1,40,164"
"16-Jan-2025","EQ","1,775.05","1,775.60","1,740.80","1,756.85","1,770.00","1,763.30","1,758.21","1,960.35","1,290.00","21,80,496","3,83,37,73,968.05","1,17,647"
