Name,Price,Day Price Change,Change %,Volume,PE Ratio (TTM),Market Cap,FII Holding,PE/Sector PE,Dividend Per Share,Promoter Holding,DII Holding,DII Holding Change %,FII Holding Change %,Retail Investor Holding,Revenue (Quarterly),Dividend Yield,EBITDA (Quarterly)
Reliance Industries,"1,264.60",-0.5,-0.04%,"71,18,453.00",24.74,"17,11,303.88",19.15,1.52,10,50.13,19.1,0.79,-1.02,9.01,"2,44,200.00",0.4,"43,934.00"
Tata Consultancy Services,"4,073.15",-39.25,-0.95%,"4,37,172.00",30.49,"14,73,701.32",12.68,0.82,73,71.77,10.91,0,0.02,4.08,"65,216.00",1.78,"17,460.00"
HDFC Bank,"1,690.95",-7.8,-0.46%,"27,93,764.00",18.68,"12,93,191.18",49.2,1.33,19.5,0,34.56,-0.75,1.19,12.63,"1,12,194.00",1.14,"23,968.40"
Bharti Airtel,"1,623.25",-3.05,-0.19%,"27,41,589.00",65.23,"9,24,576.10",24.27,2.48,8,53.11,19.63,0.81,-0.81,1.96,"42,801.90",0.5,"21,717.80"
ICICI Bank,"1,255.55",2.75,0.22%,"30,11,914.00",17.98,"8,86,169.68",45.69,1.28,10,0,44.95,0.78,-0.52,7.14,"74,644.80",0.79,"18,541.70"
Infosys,"1,851.35",-28.45,-1.51%,"17,01,402.00",28.23,"7,68,730.36",33.3,0.76,46,14.43,38.37,0.27,0.02,11.56,"42,623.00",2.45,"10,521.00"
State Bank of India,766,-6.9,-0.89%,"93,63,077.00",8.98,"6,83,625.89",10.28,0.69,13.7,57.43,24.92,0.83,-0.43,6.37,"1,63,802.70",1.77,"26,427.80"
Hindustan Unilever,"2,506.05",37.25,1.51%,"29,70,999.00",56.09,"5,88,819.32",11.43,0.93,42,61.9,14.73,0.55,-0.75,10.34,"16,330.00",1.7,"3,793.00"
ITC,462.55,15.05,3.36%,"3,03,93,007.00",27.26,"5,78,729.16",40.17,0.76,13.75,0,44.92,0.33,-0.37,12.4,"21,205.70",3.07,"7,330.30"
LIC of India,848.2,2.75,0.33%,"18,90,501.00",12.88,"5,36,486.30",0.07,0.43,10,96.5,1.27,0.1,-0.08,1.81,"1,21,120.30",1.18,"-86,948.90"
Bajaj Finance,"8,000.10",115,1.46%,"16,15,378.00",30.54,"4,95,203.37",20.79,1.03,36,54.7,15.17,0.08,-0.02,7.36,"17,659.20",0.46,"11,406.20"
Larsen & Toubro,"3,447.50",-119.9,-3.36%,"47,52,505.00",35.38,"4,74,076.29",20.83,0.92,34,0,41.71,1.13,-0.88,19.61,"65,635.70",0.95,"9,018.40"
HCL Technologies,"1,694.00",-31.45,-1.82%,"5,69,018.00",27.43,"4,59,694.87",19.38,0.73,52,60.81,15.24,-0.57,0.71,3.42,"30,367.00",3.02,"6,825.00"
Sun Pharmaceutical,"1,742.20",-1.75,-0.10%,"14,77,972.00",35.46,"4,18,012.14",18.05,0.88,13.5,54.48,18.55,-0.06,0.03,5.47,"13,902.50",0.77,"4,265.80"
